#|Warning: Extending chunks with slot named FIRST because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named SECOND because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named START because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Extending chunks with slot named END because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Production INIT-AGENT uses previously undefined slots (COUNT). |#
#|Warning: Extending chunks with slot named FIRST because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named SECOND because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named START because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Extending chunks with slot named END because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Production INIT-AGENT uses previously undefined slot COUNT. |#
     0.000   GOAL                   SET-BUFFER-CHUNK GOAL FIRST-GOAL NIL
     0.000   PROCEDURAL             CONFLICT-RESOLUTION
     0.000   PROCEDURAL             PRODUCTION-SELECTED INIT-AGENT
     0.000   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.050   PROCEDURAL             PRODUCTION-FIRED INIT-AGENT
     0.050   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
     0.050   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.050   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.050   DECLARATIVE            start-retrieval
     0.050   PROCEDURAL             CONFLICT-RESOLUTION
     0.100   DECLARATIVE            RETRIEVED-CHUNK B
     0.100   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL B
     0.100   PROCEDURAL             CONFLICT-RESOLUTION
     0.100   PROCEDURAL             PRODUCTION-SELECTED INCREMENT
     0.100   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.100   PROCEDURAL             BUFFER-READ-ACTION RETRIEVAL
     0.150   PROCEDURAL             PRODUCTION-FIRED INCREMENT
1
     0.150   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
     0.150   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.150   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.150   DECLARATIVE            start-retrieval
     0.150   PROCEDURAL             CONFLICT-RESOLUTION
     0.200   DECLARATIVE            RETRIEVED-CHUNK C
     0.200   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL C
     0.200   PROCEDURAL             CONFLICT-RESOLUTION
     0.200   PROCEDURAL             PRODUCTION-SELECTED INCREMENT
     0.200   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.200   PROCEDURAL             BUFFER-READ-ACTION RETRIEVAL
     0.250   PROCEDURAL             PRODUCTION-FIRED INCREMENT
2
     0.250   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
     0.250   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.250   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.250   DECLARATIVE            start-retrieval
     0.250   PROCEDURAL             CONFLICT-RESOLUTION
     0.300   DECLARATIVE            RETRIEVED-CHUNK D
     0.300   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL D
     0.300   PROCEDURAL             CONFLICT-RESOLUTION
     0.300   PROCEDURAL             PRODUCTION-SELECTED INCREMENT
     0.300   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.300   PROCEDURAL             BUFFER-READ-ACTION RETRIEVAL
     0.350   PROCEDURAL             PRODUCTION-FIRED INCREMENT
3
     0.350   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
